Komentar,Nama Pengguna,Rating,Tanggal,Nama Aplikasi
"Sangat membantu, saat ada gempa jadi tau dimana lokasi nya",Fogo12,5,2024-10-24 00:29:11,InfoBMKG
Just helpful,Daryanti 06,5,2024-10-23 21:24:40,InfoBMKG
Crash mulu appnya setidaknya ga terlalu up to date alrmnya aplikasinya yg bagus,ve n29,1,2024-10-23 05:22:28,InfoBMKG
Prediksi cuaca tidak akurat..,chanel platp,1,2024-10-22 13:53:42,InfoBMKG
Pengiriman Informasi gempa terlalu lambat,AGUS TF,3,2024-10-21 10:21:11,InfoBMKG
Bagus aku suka,Ridwan lumempow Syarif lumempow,5,2024-10-21 09:31:09,InfoBMKG
Mantap,Anakjepara jepara,5,2024-10-20 09:41:14,InfoBMKG
"S A R A N : TAMBAHKAN FENOMENA ALAM YANG AKAN TERJADI DI INDOESIA , MISALNYA KOMET , METEOR , GERHANA BULAN , GERHANA MATAHARI , DLL.. DI INFOKAN 1 ATAU 2 MINGGU SEBELUM HARI H . AGAR BANYAK PENIKMAT FENOMENA ALAM DI INDONESIA ..",Mandala Wangi,5,2024-10-20 00:25:36,InfoBMKG
tolong buatin widget sekalian min,Andi Kurniawan,5,2024-10-19 16:27:43,InfoBMKG
Masih blm ada perbaikan. Ada notif gempa waktu di klik gak kebuka di aplikasinya. Setelah update juga gak ada perubahan.,Pengguna Google,4,2024-10-19 00:32:26,InfoBMKG
kesini karena rekomendasi mimin shina,zanac x,5,2024-10-18 09:26:45,InfoBMKG
Mohon tambahin fitur widget biar masyarakat tau posisi cuaca lokasi sekitar...,yusuf findi guno.,4,2024-10-16 03:44:42,InfoBMKG
👍💯,supriyanto supri,5,2024-10-15 08:00:06,InfoBMKG
Sudah oke,Asis,5,2024-10-14 10:27:03,InfoBMKG
Bnkg emang sanggat bagus sekali,renaldo,5,2024-10-14 08:20:54,InfoBMKG
Tampilan di tablet untuk kotak cuaca per jam suka terpotong.,Eni Susanti,4,2024-10-13 01:06:55,InfoBMKG
Ok!!,Wasitah Sita,5,2024-10-12 10:04:29,InfoBMKG
ok,mbah kadir,5,2024-10-10 14:35:00,InfoBMKG
Sangat bermanfaat,Ayah Yasin Familly,5,2024-10-10 10:19:19,InfoBMKG
"Pendeteksi Gempa Bumi Dan Peringatan Tsunami, Peringatan Gunung Meletus, Informasi Cuaca Akurat,serta Perubahan Yang terbaik untuk latar belakang tersebut..",Jonathan F Traveller,4,2024-10-09 23:41:47,InfoBMKG
"Gak guna sih ini, bagus punya google",Teguh Pamungkas,1,2024-10-09 22:45:44,InfoBMKG
"bagus, mengtahui sangat berfungsi dengan baik",muhammad risandi,4,2024-10-09 12:18:21,InfoBMKG
Bagus dan akurat,Hadiwijaya Azmatkhan,5,2024-10-09 11:50:14,InfoBMKG
Aplikasinya sangat membantu,Muhammad Rasyid,5,2024-10-09 10:54:08,InfoBMKG
Tingkatkan akurasi dan sensitifitasnya,Maryadi Raharjo,4,2024-10-09 03:45:00,InfoBMKG
Sayang aplikasinya telat update.kalo ada gempa,DLA visual,1,2024-10-08 14:20:52,InfoBMKG
mantap,Baginda harun daulay,5,2024-10-08 13:40:15,InfoBMKG
mantab 👍😁,Almer Buwono,5,2024-10-07 11:12:35,InfoBMKG
sangat kurang akurat,Mochamad Alfan Fathoni,2,2024-10-07 04:44:27,InfoBMKG
Terima kasih.Sangat membantu masyarakat,Yudhis Wahyudhi,5,2024-10-06 00:25:26,InfoBMKG
bagus lengkap akurat 👍👍👍,Bay Ali Una Kia batam kepri,5,2024-10-05 22:25:38,InfoBMKG
nice,Muhammad Syarif,5,2024-10-05 21:48:27,InfoBMKG
Untuk melihat jam pasang atau surutnya air laut saya masih belum menemukannya.,ENDEL AJA,4,2024-10-05 06:57:39,InfoBMKG
Perkiraan cuacanya ngawur banget. SDM dan teknologinya katrok.,Haidar Ali Mahmud Desky,1,2024-10-04 20:04:35,InfoBMKG
sangat cocok,Abahe Andyka,4,2024-10-04 15:39:38,InfoBMKG
Good,Steeven Glenn,5,2024-10-04 12:26:11,InfoBMKG
"kak aplikasi punya saya kepencet bahasa inggris, mau di kembalikan bahasa Indonesia tidak bisa, mohon petunjuk nya biar bisa bahasa Indonesia lagi. nanti kalau sudah bisa bahasa Indonesia saya ganti rating, terimakasih.",Farid Muhlisin,3,2024-10-04 04:46:31,InfoBMKG
Kenapa info kualitas udara di wilayah NTT tida yah?.,Gregorius Manto,3,2024-10-02 08:04:28,InfoBMKG
Sangat membantu informasi,Nafis Mulyana,4,2024-10-02 03:05:04,InfoBMKG
bagusb,Dwi Mami,5,2024-10-01 14:32:50,InfoBMKG
Terimakasih BMKG apk ini sangat membantu🙏🙏,Unknown 1,5,2024-10-01 10:52:01,InfoBMKG
Oya sebelum nya saya nyuwun ngampunten geh mas saya belum dapat bantuan dari bansos atas nama pak budi prasetyo di jragung jogotirto berbah sleman rt 05 rw 02 kelurahan jogotirto berbah sleman kecamatan nya berbah sleman yogyakarta mas Terima kasih mas,Budi Prasetiyo,5,2024-10-01 03:15:40,InfoBMKG
membantu banget buat saya yang mau mantau daerah gunung yang mau saya daki,Amin Rizal,5,2024-09-30 05:17:05,InfoBMKG
Sering tepat prakiraan cuaca.,WIDODO TANPA NAMA BELAKANG,5,2024-09-29 18:49:32,InfoBMKG
Sangat akurat dan membantu,Veronika Irianas,5,2024-09-28 07:24:05,InfoBMKG
"notifikasinya gk akurat gempa udah selesai, ini notfikasi peringatan gempa baru datang. Hadeh 😒",OMI MOZA,1,2024-09-26 08:19:50,InfoBMKG
Sangat membantu,Owenwen Wen,5,2024-09-26 04:50:07,InfoBMKG
"Kenapa notifikasi gempa bumi tidak aktif lagi saat ini...saya download aplikasi ini buat itu...agar saya merasa tenang, karena saya punya keluarga di daerah rawan gempa/tsunami (Padang)...",Dilla Sweetheart,4,2024-09-26 04:20:01,InfoBMKG
Menu Radar di apl nya gak bisa kebuka 😐😓,Firo AlHadi,3,2024-09-25 18:45:57,InfoBMKG
Saya langsung kasih 5 walaupun mau coba...,Sahi Din,5,2024-09-25 13:49:54,InfoBMKG
intinya berguna,Oka Pranata,5,2024-09-25 09:19:23,InfoBMKG
"Tolong tambahkan banyak kota dibagian kualitas udara, karena bagian itu masih sedikit, atau tidak ada pilihan wilayah pengguna. Dan juga tambah fitur zoom gambar dibagian peringatan cuaca. Terima kasih.",Dhimas Cakra,1,2024-09-25 07:01:35,InfoBMKG
"Aplikasinya mengalami peningkatan pesat, baik dari tampilan maupun fiturnya",Dutta Apsari Araminta,5,2024-09-25 06:45:57,InfoBMKG
Baru coba,Adi Suryadi,5,2024-09-25 02:09:46,InfoBMKG
Good,Vito Yanuar,5,2024-09-24 11:57:46,InfoBMKG
"Ngasih info selalu telat, baru kejadian dikasih tau, seharusnya sebelum kejadian kasih tau.. contoh saat hujan",Indra,2,2024-09-24 10:54:45,InfoBMKG
"Notif tdk akurat..cuaca oanas,masa notifnya badai akan dtg lalu hujan..nah panas sekali dimakassar,rusak kali alat kalian",Wave Alfian,4,2024-09-24 04:54:48,InfoBMKG
"Aplikasinya bagus, lebih bagus lagi di kasih peringatan dini seperti di jepang",anita lutf,5,2024-09-24 03:44:37,InfoBMKG
Terbaik,Heri Bogey,5,2024-09-24 03:24:55,InfoBMKG
"Aplikasi ini perfect, dengan fitur yg mudah dipahami dan memberikan informasi yg kompleks. Perkembangan yg keren dari versi sebelumnya",Nva Suryadila,5,2024-09-24 01:18:37,InfoBMKG
Sangat mendukung,Umar S. Etango,5,2024-09-24 00:17:52,InfoBMKG
"diprediksi hujan berpetir, hujan nggak ada petir nggak ada ... prediksi cerah berawan malahan turun hujan",Asep Dodi,1,2024-09-23 13:16:46,InfoBMKG
Sangat membantu,Yayan Rusyana,5,2024-09-23 12:37:52,InfoBMKG
Masih mencoba. Smoga bagus.,Wawas Budiantoro,4,2024-09-23 11:31:48,InfoBMKG
"Bagus Tapi kalau ada gempa 3 SR, 4 SR kok nggak muncul di notif ya. Kenapa ya",Via.S,4,2024-09-22 13:30:15,InfoBMKG
Baru coba,Adi Suryadi,5,2024-09-22 05:42:40,InfoBMKG
Bmkg knp ya sekarang kalau ada gempa tidak ada pmberitahuan nya,Han Hanna,3,2024-09-21 14:01:55,InfoBMKG
mantap untuk informasi cuaca,Petrus Ri,4,2024-09-21 13:05:19,InfoBMKG
Aplikasi setelah bencana kalau ini bukan aplikasi sebelum bencana.. 1 menit setelah gempa aja ga ada notif dimana letak gempa belum Ter update...,PDC Banyuwangi,1,2024-09-21 05:28:04,InfoBMKG
luar biasa,Paulus wignyohadi,5,2024-09-20 23:48:17,InfoBMKG
Payah ada gempa tapi ga ada notif nya.,Ahmad Majisuka,1,2024-09-20 23:39:04,InfoBMKG
Update informasi tentang gempa terkini sangat amat lama. Bahkan tadi sudah 10 menit belum ada informasi tentang gempa yang baru saja terjadi.,Melia Wulandari,1,2024-09-20 23:39:02,InfoBMKG
Udah bagus tapi notifikasi gempanya lambat banget masuk 1 jam setelah gempa terjadi baru ada data kordinat masuk,I nyoman Astawan,3,2024-09-20 23:35:19,InfoBMKG
"Tidak update, padahal barusan ada gempa tpi tidak mncul",Vincent Paskalis,2,2024-09-20 23:34:41,InfoBMKG
Tidak bisa kasih peringatan dini sebelum adanya gempa dan notifikasi gempa yang terjadi tidak up to date,Kasir Happy drink,1,2024-09-20 23:33:42,InfoBMKG
Tidak update,Mahesa Putra,1,2024-09-20 23:33:31,InfoBMKG
Kenapa baru² ini tidak ada notifikasi adanya gempa? Mohon diperbaiki kedepannya.. Terimakasih,None none,4,2024-09-20 18:28:00,InfoBMKG
Bmkg emang the best,putra Ganteng,5,2024-09-20 12:55:26,InfoBMKG
Mantap,Ridwan Syah,5,2024-09-20 00:20:05,InfoBMKG
Ya demi keselamatan lah,RaynSM,5,2024-09-19 17:32:55,InfoBMKG
Mantap sangat membantu👌,Dony Czrone,5,2024-09-19 07:34:42,InfoBMKG
TOLONG PERBAIKI TIDAK ADA LAGI NOTIFIKASI GEMPA,Rik Bro1,1,2024-09-18 15:34:22,InfoBMKG
"Menurut saya aplikasi ini sangat bagus banget dan sangat membantu banget karena dengan aplikasi ini kita bisa mengetahui prakiraan cuaca dan prakiraan bencana walaupun hanya Allah yang tahu dan manusia hanya bisa memperkirakan saja dan tetap waspada tetapi dengan aplikasi ini manusia semakin tahu informasi walaupun hanya memperkirakan saja.★5 untuk aplikasi ini.SEMANGAT TERUS ""BMKG""!!!",Muhammad Rafi,5,2024-09-18 14:18:55,InfoBMKG
Alhamdulillah sangat bermanfaat,Imam Safi'i,5,2024-09-18 13:49:49,InfoBMKG
Terimakasih.semoga memberi manfaat sesuai yang di butuhkan,Ali Munir,5,2024-09-18 10:56:34,InfoBMKG
Bagus dan bermanfaat,Putri Seema,5,2024-09-18 09:03:22,InfoBMKG
Sangat membantu,Zacky Zack,5,2024-09-18 06:51:15,InfoBMKG
Sangat membantu,Hendi Hendi,5,2024-09-18 03:37:00,InfoBMKG
Tidak sesuai dengan keadaan. Di apk berawan aslinya hujan.,Mhd. Khoirun Nafis Srg,1,2024-09-17 23:20:42,InfoBMKG
"bgus aplikasi nya, semoga bisa diandalkan kayak aplikasi "" peringatan dini seperti di jepang, untuk yg kasih masukan untuk menambahkan live chat di aplikasi, atau komentar gitu, setuju sih saya.",Bismi m. Amanu,5,2024-09-17 06:41:34,InfoBMKG
"Makin sini notif gempa makin ga ada, padahal hari ini gempa sukabumi dan deket ke aku. Tapi ga ada notif sama sekali.",Suci Humayroh,3,2024-09-16 12:24:33,InfoBMKG
"Ckp membantu, semoga user interface experience nya bs ditingkatkan lg sehingga lebih user friendly...bravo BMKG",teguh pebtiadi,4,2024-09-16 12:10:03,InfoBMKG
Notif gempa tidak ada ?,Deni Kurniawan,3,2024-09-16 02:50:02,InfoBMKG
Baik,Alfian AR (Makjaal),5,2024-09-16 02:27:37,InfoBMKG
Sangat membantu,sang Oprator,5,2024-09-16 01:50:35,InfoBMKG
Sangat bermanfaat,Bang Arif,5,2024-09-15 18:10:50,InfoBMKG
Ok,Asep Dany hidayat,5,2024-09-15 16:47:34,InfoBMKG
Ini kenapa sudah 1bulan notif bmkg ga muncul ya kalo tidak dibuka ke apknya . Biasanya ada terus lho min. Dan ket sett apk itu on notif,Haiko Dv,5,2024-09-15 11:01:37,InfoBMKG
Admin kenapa tidak notifikasi gempa seperti dulu? Tolong kembalikan notif setiap ada gempa,alparizi alparez,5,2024-09-15 05:34:57,InfoBMKG
pas sebelum gempa palu saya download ini pas saya liat mengtudo sangat sangat besar makasih BMKG anda telah membantu saya dan keluarga saya makasih,zainah alaydrus,5,2024-09-14 11:11:00,InfoBMKG
Info Penting harus punya 🙂,johny kelana,5,2024-09-14 10:01:01,InfoBMKG
"Gak ada kualitas udara di jawa tengah,jawa barat, jawa timur tolong di perbaiki aplikasi bmkg sudah bagus tolong di perbaiki dong pemerintah indonesia",Gengong Oy,5,2024-09-13 15:35:28,InfoBMKG
Bagus,Eko Prasetyo,4,2024-09-12 11:12:56,InfoBMKG
"Terkadang d aplikasi ini tidak sesuai dengan d aplikasi, aplikasi timur tapi cuaca menunjukan ke salatan MTA arah angin.....tolong d perbaiki lagi",RIZKI Aditya,1,2024-09-12 02:49:41,InfoBMKG
Sangat baik,Davino Andhika Permana,5,2024-09-11 20:17:25,InfoBMKG
Mending pemerintah kerjasama dgn negara jepang tentang teknologi nya agar sekian detik sbelum terjadinya gempa kita tidak terlalu kaget dgn adanya gempa,Zidan Zidan,1,2024-09-11 18:13:13,InfoBMKG
"Tolong diperbaiki, pemberitahuan info gempa tidak muncul... padahal handphone sudah sy reset pengaturan pabrik",Rik Bro,1,2024-09-11 12:31:07,InfoBMKG
Sangat membantu,Djemko Rawung,5,2024-09-11 02:29:00,InfoBMKG
tidak ada widget update cuaca 24 jam! kalah sama aplikasi sejenis! harusnya bmkg mengadakan widget cuaca 24 jam agar kita tidak perlu masuk ke aplikasinya jika ingin update cuaca.!,Robert Anthony,1,2024-09-11 01:12:48,InfoBMKG
"Desain simple dan bagus, mudah di pahami berserta memberi glorasium untuk memahami istilah yang masih asing di orang awam. Saya berterima kasih pada app ini...",Ehud Eduard06,5,2024-09-10 15:26:44,InfoBMKG
Punya belajar apk my shake penjelasan apk BMKG sebelum jepang gempa besar teknologi 1 Januari 2024,Fernandez SA,1,2024-09-10 09:36:44,InfoBMKG
"Kadang heran ini bmkg ya,, prakiran atau gimna si,, sudah terjadi baru kasih info,, seperti hujan saja hujan sudah reda keluar peringatan info terkini katanya akan di guyur hujan, heyyy saya sudah tau hujan nya juga sudah reda",kHaRiSmA LoVE,3,2024-09-10 06:01:31,InfoBMKG
"Ini kan sudah muti hazard-early warning system, apakah ketika ada bencana seperti gempa besar aplikasi BMKG ini dapat memberikan notifikasi pada phonsel? Seperti dinegara jepang, phonsel mereka akan berbunyi ketika ada gempa besar... seperti itu??? Aplikasi buatan pemerintah TERBAIK menurut saya 🌏 daripada aplikasi buatan pemerintah YANG LAINnya.",Muji Pramono,5,2024-09-10 01:08:36,InfoBMKG
BMKG beri info alarm peringatan dini tsunami atau gempa di hp dan info nya segera cepat waktu sebelum ada gempa,Daman Huri,5,2024-09-09 15:22:05,InfoBMKG
Jelek,dwi_ sanz.,1,2024-09-09 09:29:47,InfoBMKG
Sangat membantu informasinya.,Suma Yoga,5,2024-09-09 03:51:06,InfoBMKG
Aplikasi yg baru utk masyarakat. Mohon ada notifikasi atau pemberitahuan bila mana ada gempa bumi yg terdekat dengan pengguna Atau ada settingan notifikasi. Terima kasih,Yuliono Mukti,5,2024-09-09 03:38:01,InfoBMKG
"Bikin hp psnas padahal sedang tidak digunakan, setelah uninstall hp menjadi dingin kembali",Eternal,1,2024-09-08 22:21:54,InfoBMKG
Apk ini sangat bermanfaat bagi saya trimakasih atas karya nya..,Aelbiz Zahwa,5,2024-09-08 13:14:27,InfoBMKG
"Cuaca lokal sering nya kurang tepat dgn keadaan sebenarnya. Terkadang juga sedikit terlambat. Utk saat ini, saya kasih bintang 3,5 deh",Endyka Suwandany,4,2024-09-08 05:58:28,InfoBMKG
Kalau bisa tambahin Mode Gelap dong......karena mata saya ga bisa liat layar terang terlalu lama🙏🏼,CEOofBINJAI,5,2024-09-07 23:28:32,InfoBMKG
Kirim info test test ga jelas developer nya,G KPP,1,2024-09-07 22:49:36,InfoBMKG
Sangat sangat tidak akurat,Rido Dho,1,2024-09-07 16:01:17,InfoBMKG
